TradeID,Trader,Broker,Symbol,AccountID,AccountSize,StartegyName,Profile,Entry Type,Exit Type,Start Date,End Date,Trade Duration(m),Start Price,End Price,Contracts,Position size,Margin,Commission,Profit,Drawdown,Drawdown %,Run-up,Run-up %
Incubation1IBSIM001MNQM345014.8112880.00,Algo,IB,MNQM3,SIM001,4716,ReversalPnF,Incubation1,Short,Stop Loss,29/03/2023 18:10,29/03/2023 19:24,74.25,12880,12930,1,25760,3000,2.5,-102.5,-99.75,-0.39,22.75,0.09
Incubation1IBSIM001MNQM345014.8412894.25,Algo,IB,MNQM3,SIM001,4690,ReversalPnF,Incubation1,Short,Short_Reg_Exit,29/03/2023 20:03,29/03/2023 20:06,2.93,12894.25,12907.25,1,25788.5,3000,2.5,-28.5,-27.75,-0.11,-0.75,0
Incubation1IBSIM001MNQM345014.9012914.00,Algo,IB,MNQM3,SIM001,4736,ReversalPnF,Incubation1,Long,Profit Target,29/03/2023 20:35,29/03/2023 21:40,64.97,12914,12934,1,25828,3000,2.5,37.5,-13.25,-0.05,13.75,0.05
Incubation1IBSIM001MNQM345014.9212934.25,Algo,IB,MNQM3,SIM001,4772,ReversalPnF,Incubation1,Long,Profit Target,29/03/2023 21:45,29/03/2023 22:01,16.5,12934.25,12955.25,1,25868.5,3000,2.5,39.5,-21.75,-0.08,36.25,0.14
Incubation2IBSIM002MNQM345013.6912783.75,Algo,IB,MNQM3,SIM002,4966,ReversalPnF,Incubation2,Long,Stop Loss,28/03/2023 13:13,28/03/2023 16:33,199.92,12783.75,12713.75,1,25567.5,3000,2.5,-142.5,-13.25,-0.05,35.75,0.14
Incubation2IBSIM002MNQM345013.7112689.50,Algo,IB,MNQM3,SIM002,5017,ReversalPnF,Incubation2,Long,Profit Target,28/03/2023 16:43,28/03/2023 17:04,21.07,12689.5,12730.75,1,25379,3000,2.5,80,-13.25,-0.05,35.75,0.14
Incubation2IBSIM002MNQM345013.9712688.50,Algo,IB,MNQM3,SIM002,4875.5,ReversalPnF,Incubation2,Short,Stop Loss,28/03/2023 21:08,28/03/2023 23:20,132.18,12688.5,12759.25,1,25377,3000,2.5,-144,-133.25,-0.53,32.75,0.13
Incubation2IBSIM002MNQM345014.8512878.00,Algo,IB,MNQM3,SIM002,4731,ReversalPnF,Incubation2,Short,Stop Loss,29/03/2023 17:43,29/03/2023 20:22,158.87,12878,12950.25,1,25756,3000,2.5,-147,-118.75,-0.47,18.75,0.07
Incubation3IBSIM003MNQM345013.7112709.50,Algo,IB,MNQM3,SIM003,4841,ReversalPnF,Incubation3,Long,Stop Loss,28/03/2023 16:49,28/03/2023 16:58,9.62,12709.5,12677.5,1,25419,3000,2.5,-66.5,-49.25,0,19.75,0
Incubation3IBSIM003MNQM345013.7112689.75,Algo,IB,MNQM3,SIM003,4871,ReversalPnF,Incubation3,Long,Profit Target,28/03/2023 17:00,28/03/2023 17:02,1.33,12689.75,12704.75,1,25379.5,3000,2.5,27.5,-21.75,-0.09,4.75,0.02
Incubation3IBSIM003MNQM345013.9512690.75,Algo,IB,MNQM3,SIM003,4811,ReversalPnF,Incubation3,Short,Stop Loss,28/03/2023 22:33,28/03/2023 22:48,15.07,12690.75,12720.75,1,25381.5,3000,2.5,-62.5,-51.25,-0.2,0.75,0
Incubation3IBSIM003MNQM345016.6613106.75,Algo,IB,MNQM3,SIM003,5032,ReversalPnF,Incubation3,Short,Profit Target,31/03/2023 15:30,31/03/2023 15:47,16.85,13106.75,13090.75,1,26213.5,3000,2.5,29.5,-43.75,0,25.75,0
Incubation3IBSIM003MNQM345016.6813116.00,Algo,IB,MNQM3,SIM003,5062,ReversalPnF,Incubation3,Short,Profit Target,31/03/2023 16:14,31/03/2023 16:26,11.17,13116,13101,1,26232,3000,2.5,27.5,-6.25,-0.02,17.25,0.07
Incubation3IBSIM003MNQM345016.7013114.00,Algo,IB,MNQM3,SIM003,5000.5,ReversalPnF,Incubation3,Short,Stop Loss,31/03/2023 16:33,31/03/2023 16:47,13.9,13114,13144.75,1,26228,3000,2.5,-64,-54.25,-0.21,0.25,0
Incubation7BinanceB001BTCUSDT45014.4728031.50,Algo,Binance,BTCUSDT,B001,99702.87,ReversalPnF,Incubation7,Short,Stop Loss,29/03/2023 11:04,29/03/2023 11:11,7.42,28031.5,28310.2,1000,28031.5,26000000,22.54,-289.92,-229.71,0,-8.41,0
Incubation7BinanceB001BTCUSDT45015.2529008.10,Algo,Binance,BTCUSDT,B001,99911.18,ReversalPnF,Incubation7,Short,Profit Target,30/03/2023 05:32,30/03/2023 06:04,32.13,29008.1,28902.2,1000,29008.1,26000000,23.16,94.29,-183.1,0,78.2,0
Incubation7BinanceB001BTCUSDT45015.2628573.10,Algo,Binance,BTCUSDT,B001,99651.38,ReversalPnF,Incubation7,Long,Stop Loss,30/03/2023 06:07,30/03/2023 06:10,3.64,28573.1,28313.3,1000,28573.1,26000000,22.75,-271.24,-244.13,-24.41,2.77,0.28
Incubation7BinanceB001BTCUSDT45015.2628258.20,Algo,Binance,BTCUSDT,B001,99753.06,ReversalPnF,Incubation7,Long,Profit Target,30/03/2023 06:11,30/03/2023 06:14,3.01,28258.2,28359.9,1000,28258.2,26000000,22.65,90.39,-41.7,-4.17,82.9,8.29
Incubation7BinanceB001BTCUSDT45015.5028598.90,Algo,Binance,BTCUSDT,B001,99855.46,ReversalPnF,Incubation7,Short,Profit Target,30/03/2023 11:41,30/03/2023 12:03,22.09,28598.9,28496.5,1000,28598.9,26000000,22.84,90.95,-42.44,-0.15,60.76,0.22
Incubation7BinanceB001BTCUSDT45016.0627954.90,Algo,Binance,BTCUSDT,B001,99726.46,ReversalPnF,Incubation7,Short,L_Time_Exit,30/03/2023 22:36,31/03/2023 01:19,162.69,27954.9,28083.9,1000,27954.9,26000000,22.42,-140.19,-236.28,-0.83,62.32,0.22
Incubation7BinanceB001BTCUSDT45016.4427811.00,Algo,Binance,BTCUSDT,B001,99442.36,ReversalPnF,Incubation7,Long,Stop Loss,31/03/2023 10:28,31/03/2023 10:39,11.51,27811,27526.9,1000,27811,26000000,22.14,-295.24,-246.92,-24.69,-7.22,-0.72
Incubation7BinanceB001BTCUSDT45016.6027800.60,Algo,Binance,BTCUSDT,B001,99338.76,ReversalPnF,Incubation7,Short,L_Time_Exit,31/03/2023 11:46,31/03/2023 14:17,150.64,27800.6,27904.2,1000,27800.6,26000000,22.28,-114.73,-188.82,-0.68,34.98,0.13
Incubation7BinanceB001BTCUSDT45016.6527849.70,Algo,Binance,BTCUSDT,B001,99080.86,ReversalPnF,Incubation7,Short,Stop Loss,31/03/2023 14:23,31/03/2023 15:30,66.72,27849.7,28107.6,1000,27849.7,26000000,22.38,-269.05,-249.04,-0.9,15.46,0.06
Incubation7BinanceB001BTCUSDT45016.9128395.70,Algo,Binance,BTCUSDT,B001,99047.86,ReversalPnF,Incubation7,Long,S_Time_Exit,31/03/2023 19:27,31/03/2023 21:46,138.55,28395.7,28362.7,1000,28395.7,26000000,22.7,-44.37,-153.26,-15.33,62.84,6.28
Incubation7BinanceB002BTCUSDT45014.7328482.30,Algo,Binance,BTCUSDT,B002,100039.9,ReversalPnF,Incubation7,Long,S_Time_Exit,29/03/2023 17:19,29/03/2023 17:28,8.76,28482.3,28339,1000,28482.3,26000000,22.73,-154.7,-163.69,-16.37,23.51,2.35
Incubation7BinanceB002BTCUSDT45015.2528968.00,Algo,Binance,BTCUSDT,B002,100042.9,ReversalPnF,Incubation7,Short,L_Time_Exit,30/03/2023 05:48,30/03/2023 05:56,7.69,28968,28965,1000,28968,26000000,23.17,-8.6,-113.59,-0.4,33.61,0.12
Incubation7BinanceB002BTCUSDT45015.2628433.90,Algo,Binance,BTCUSDT,B002,100014.4,ReversalPnF,Incubation7,Long,S_Time_Exit,30/03/2023 06:07,30/03/2023 06:10,3.39,28433.9,28318.6,247,7023.17,6422000,5.61,-31.3,-33.68,-29.55,21.37,18.75
Incubation7BinanceB002BTCUSDT45015.2628297.20,Algo,Binance,BTCUSDT,B002,100191.7,ReversalPnF,Incubation7,Long,S_Time_Exit,30/03/2023 06:11,30/03/2023 06:16,4.62,28297.2,28474.6,1000,28297.2,26000000,22.71,166.07,-50.42,-5.04,159.28,15.93
Incubation7BinanceB003BTCUSDT45013.9327272.80,Algo,Binance,BTCUSDT,B003,100016,ReversalPnF,Incubation7,Short,Profit Target,28/03/2023 22:11,28/03/2023 22:17,6.42,27272.8,27197.6,1000,27272.8,26000000,21.79,64.28,-28.11,0,61.79,0
Incubation7BinanceB003BTCUSDT45013.9527303.90,Algo,Binance,BTCUSDT,B003,99853.69,ReversalPnF,Incubation7,Short,Stop Loss,28/03/2023 22:46,28/03/2023 22:52,5.77,27303.9,27466.3,1000,27303.9,26000000,21.91,-173.33,-149.12,-0.55,4.78,0.02
Incubation7BinanceB003BTCUSDT45015.2328693.40,Algo,Binance,BTCUSDT,B003,99947.23,ReversalPnF,Incubation7,Short,L_Time_Exit,30/03/2023 05:22,30/03/2023 05:27,5.53,28693.4,28742.8,1000,28693.4,26000000,22.97,-60.89,-79.18,0,29.52,0
Incubation7BinanceB003BTCUSDT45015.2328821.90,Algo,Binance,BTCUSDT,B003,99927.4,ReversalPnF,Incubation7,Short,L_Time_Exit,30/03/2023 05:28,30/03/2023 05:29,1.25,28821.9,28841.8,1000,28821.9,26000000,23.07,-31.44,-139.63,-0.49,25.27,0.09
Incubation7BinanceB003BTCUSDT45015.2328916.50,Algo,Binance,BTCUSDT,B003,99810.05,ReversalPnF,Incubation7,Short,Stop Loss,30/03/2023 05:31,30/03/2023 05:31,0.5,28916.5,29087.5,1000,28916.5,26000000,23.2,-182.58,-128.87,-0.45,-6.77,-0.02
Incubation7BinanceB003BTCUSDT45015.2329022.00,Algo,Binance,BTCUSDT,B003,99687.31,ReversalPnF,Incubation7,Short,L_Time_Exit,30/03/2023 05:32,30/03/2023 05:35,3.22,29022,29091,1000,29022,26000000,23.25,-80.62,-117.11,-0.4,36.29,0.13
Incubation7BinanceB003BTCUSDT45015.2429049.50,Algo,Binance,BTCUSDT,B003,99764.38,ReversalPnF,Incubation7,Short,Profit Target,30/03/2023 05:48,30/03/2023 05:49,0.79,29049.5,28972.3,1000,29049.5,26000000,23.21,65.57,-11.62,-0.04,65.48,0.23
Incubation7BinanceB003BTCUSDT45015.2628260.60,Algo,Binance,BTCUSDT,B003,99859.9,ReversalPnF,Incubation7,Long,Profit Target,30/03/2023 06:11,30/03/2023 06:12,1.18,28260.6,28338,1000,28260.6,26000000,22.64,66.08,-44.1,-3.46,63,4.95
Incubation7BinanceB003BTCUSDT45015.7328355.30,Algo,Binance,BTCUSDT,B003,99891.5,ReversalPnF,Incubation7,Long,S_Time_Exit,30/03/2023 17:18,30/03/2023 17:26,8.28,28355.3,28387,1000,28355.3,26000000,22.7,20.35,-29.54,-2.95,56.16,5.62
Incubation7BinanceB003BTCUSDT45015.8128182.70,Algo,Binance,BTCUSDT,B003,99968.75,ReversalPnF,Incubation7,Long,Profit Target,30/03/2023 19:27,30/03/2023 19:30,3.24,28182.7,28260,1000,28182.7,26000000,22.58,66.02,-13.27,-1.33,45.93,4.59
Incubation7BinanceB003BTCUSDT45015.8627853.10,Algo,Binance,BTCUSDT,B003,100046.3,ReversalPnF,Incubation7,Long,Profit Target,30/03/2023 20:38,30/03/2023 20:39,0.9,27853.1,27930.7,1000,27853.1,26000000,22.31,66.45,-14.24,-2.56,60.76,10.93
